index,power
400,2000.0
401,2001.0
402,2002.0
403,2003.0
404,2004.0
405,2005.0
406,2006.0
407,2007.0
408,2008.0
409,2009.0
410,2010.0
411,2011.0
412,2012.0
413,2013.0
414,2014.0
415,2015.0
416,2016.0
417,2017.0
418,2018.0
419,2019.0
420,2020.0
421,2021.0
422,2022.0
423,2023.0
424,2024.0
425,2025.0
426,2026.0
427,2027.0
428,2028.0
429,2029.0
430,2030.0
431,2031.0
432,2032.0
433,2033.0
434,2034.0
435,2035.0
436,2036.0
437,2037.0
438,2038.0
439,2039.0
440,2040.0
441,2041.0
442,2042.0
443,2043.0
444,2044.0
445,2045.0
446,2046.0
447,2047.0
448,2048.0
449,2049.0
450,2050.0
451,2051.0
452,2052.0
453,2053.0
454,2054.0
455,2055.0
456,2056.0
457,2057.0
458,2058.0
459,2059.0
460,2060.0
461,2061.0
462,2062.0
463,2063.0
464,2064.0
465,2065.0
466,2066.0
467,2067.0
468,2068.0
469,2069.0
470,2070.0
471,2071.0
472,2072.0
473,2073.0
474,2074.0
475,2075.0
476,2076.0
477,2077.0
478,2078.0
479,2079.0
480,2080.0
481,2081.0
482,2082.0
483,2083.0
484,2084.0
485,2085.0
486,2086.0
487,2087.0
488,2088.0
489,2089.0
490,2090.0
491,2091.0
492,2092.0
493,2093.0
494,2094.0
495,2095.0
496,2096.0
497,2097.0
498,2098.0
499,2099.0
500,2100.0
501,2101.0
502,2102.0
503,2103.0
504,2104.0
505,2105.0
506,2106.0
507,2107.0
508,2108.0
509,2109.0
510,2110.0
511,2111.0
512,2112.0
513,2113.0
514,2114.0
515,2115.0
516,2116.0
517,2117.0
518,2118.0
519,2119.0
520,2120.0
521,2121.0
522,2122.0
523,2123.0
524,2124.0
525,2125.0
526,2126.0
527,2127.0
528,2128.0
529,2129.0
530,2130.0
531,2131.0
532,2132.0
533,2133.0
534,2134.0
535,2135.0
536,2136.0
537,2137.0
538,2138.0
539,2139.0
540,2140.0
541,2141.0
542,2142.0
543,2143.0
544,2144.0
545,2145.0
546,2146.0
547,2147.0
548,2148.0
549,2149.0
550,2150.0
551,2151.0
552,2152.0
553,2153.0
554,2154.0
555,2155.0
556,2156.0
557,2157.0
558,2158.0
559,2159.0
560,2160.0
561,2161.0
562,2162.0
563,2163.0
564,2164.0
565,2165.0
566,2166.0
567,2167.0
568,2168.0
569,2169.0
570,2170.0
571,2171.0
572,2172.0
573,2173.0
574,2174.0
575,2175.0
576,2176.0
577,2177.0
578,2178.0
579,2179.0
580,2180.0
581,2181.0
582,2182.0
583,2183.0
584,2184.0
585,2185.0
586,2186.0
587,2187.0
588,2188.0
589,2189.0
590,2190.0
591,2191.0
592,2192.0
593,2193.0
594,2194.0
595,2195.0
596,2196.0
597,2197.0
598,2198.0
599,2199.0
600,2200.0
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,
645,
646,
647,
648,
649,
