index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:00:01.000000000
1,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:00:29.800000000
2,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:00:58.600000000
3,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:01:27.400000000
4,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:01:56.200000000
5,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:02:25.000000000
6,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:02:53.800000000
7,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:03:22.600000000
8,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:03:51.400000000
9,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:04:20.200000000
10,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:04:49.000000000
11,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:05:17.800000000
12,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:05:46.600000000
13,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:06:15.400000000
14,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:06:44.200000000
15,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:07:13.000000000
16,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:07:41.800000000
17,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:08:10.600000000
18,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:08:39.400000000
19,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:09:08.200000000
20,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:09:37.000000000
21,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:10:05.800000000
22,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:10:34.600000000
23,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:11:03.400000000
24,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:11:32.200000000
25,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:12:01.000000000
26,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:12:29.800000000
